Initial Sentence,Sentence with Typos,Corrected Sentence,Mistake Probability,WER,CER,Levenshtein Weight,Language Model Weight
i believe that   despite the fears that may be felt by the two communities on the island   these points   which could be viewed in a negative light by the authorities on both sides   may in the end justify hopes of an ultimate solution .,i bfoieve tbat   bespibe the fears that may be fedt bj thi two commkninies on tse island   ehese points   weizs cound be viewek fn a negative light by the axthorities on fotb sidis   may an tae end justify kbped of an ulzimate solueion .,i believe that despite the fears that may be feet be the two communities on the island these points weeks could be viewed on a negative light by the authorities on for sides may an the end justice wiped of an ultimate solution,0.18,0.20454545454545456,0.07860262008733625,1.0,0.0
the second is to create internationally competitive conditions   which will enable us to improve the economic fabric of the european union   and this will have positive knock-on effects on the problems of social exclusion .,the second ik to cjeate intjrnationally compvtitive condptiods   which wnli egable us ro lmprovp thh esonomic fafrjc oi xfc eupopean union   ana this will have positive ahoqk-on effects on the prcblems of social eabcuspon .,the second in to create internationally competitive conditions which well enable us to improve the economic fabric of of european union and this will have positive horizon effects on the problems of social extension,0.18,0.17142857142857143,0.0684931506849315,1.0,0.0
if i have not already done so   i would also thank mr karl-heinz florenz for the hard work he has put into this proposal on the committee on the environment   public health and consumer policy .,if i have not apready done so   x woulg also thvnk mr karc-helnz florenz fxr the hard wors he hay put iitt this propflal on txe committee on rhe environwent   public healrh aru coosumer pxlicy B,if i have not already done so x would also think mr rachel flora for the hard work he hay put into this proposal on the committee on the environment public health are consumer policy b,0.18,0.19444444444444445,0.08421052631578947,1.0,0.0
this is why i think that we as european parliament need to ask the american authorities in any case to suspend the relocation scheme under discussion and   if necessary   abandon the scheme altogether .,uhzs is wnw u thirp that we as ersodfan pyrliamhtt need to ash lhe amxrican authorities in any cask to suspond the relocatinn scheme onder discusjixn anr   iq necwzsary   abandcl the scveme altogethpr .,has is knew third that we as eroded parliament need to ash the american authorities in any task to respond the relating scheme under discussion and in necessary scandal the scheme altogether,0.18,0.35294117647058826,0.15151515151515152,1.0,0.0
however   an objective is emerging behind this issue of community accession   one i find as yet too theoretical but one that some member states   nonetheless   find too offensive .,howlver   en okjeptive is emeraing behinj yhis isbue of cbmmusity fccpsoxwn   onw i fqnd ad cet too ehoaqetical bjt one yhxt some memner states   nonethelass   filt too offensive .,however on incentive is emerging behind this issue of community sown on i find ad get too theoretical but one that some member states northeast felt too effective,0.18,0.3448275862068966,0.16279069767441862,1.0,0.0
as regards the second treaty on performances and phonograms   it must be stressed that for the first time an international treaty signed by the community as well recognises exclusive rights for performers   interpreters and artists for reproduction   distribution and rental to the public   and the right to fair remuneration for radio broadcasts .,ai eegawds the seaobd tzehtq on derformayces vnd rwopbsrams   it mfsp be saresued thac mor the kxrst time an injernatsoxal treaty shgnef bu rhx xomsunity as weyl rehognises exnlusive rights for perfereerj   intzrpreiels anf artists eor repaodqction   distributilq and rentav to the public   and tie right to faig remuneraqyon for redio broadcasws .,a heads the second treat on performance and roberts it must be stressed that for the first time an international treat signed be rex community as well recognised explosive rights for performed enterprises and artists for reduction distribution and rental to the public and the right to fair generation for radio broadacre,0.18,0.3018867924528302,0.11470588235294117,1.0,0.0
the problem is not mr kouchner but the legal basis on which he is working   namely resolution 1244 .,ihe prnblem is jcn mr kogcseer but the legal yasis on whych he is workzng   namely reiolution 1Y44 .,the problem is jan mr together but the legal basis on which he is working family resolution 14,0.18,0.2631578947368421,0.14285714285714285,1.0,0.0
however   the department of the marine   louth county council and drogheda corporation have allowed the development of a new port in the spa and even the elimination of a mudflat at stegrennan recently added to the spa specifically at the commission 's insistence .,however   lhe depaitment zf the marine   louth counsy cluncin and drognedj corcorawiln have aclowed ehe henelopment of a new porv in the ppa and even thm vliminatiqn of a mudfnat at ytegmennan recently added to twe spa specificslfy at the cavmhssion 's insietence .,however the department of the marine south country council and dropped corporation have allowed the development of a new pork in the pm and even the eliminate of a must at tasmanian recently added to the sa specifically at the commission ' instance,0.18,0.2727272727272727,0.10727969348659004,1.0,0.0
it is not   therefore   about harmonisation but about common objectives .,it is not   therefore   about haunolisation buy abmut commln objebtimes .,it is not therefore about association buy about common sometimes,0.18,0.36363636363636365,0.18840579710144928,1.0,0.0
i now come to the content of the report .,i now come to the comtent of the reporz .,i now come to the content of the report,0.18,0.1,0.04878048780487805,1.0,0.0
